tick,mt,upsilon_num,upsilon_den,beta_num,beta_den,koppa_num,koppa_den,koppa_sample_num,koppa_sample_den,prev_upsilon_num,prev_upsilon_den,prev_beta_num,prev_beta_den,koppa_stack0_num,koppa_stack0_den,koppa_stack1_num,koppa_stack1_den,koppa_stack2_num,koppa_stack2_den,koppa_stack3_num,koppa_stack3_den,koppa_stack_size
1,1,81,35,5,7,1,1,1,1,3,5,5,7,0,1,0,1,0,1,0,1,0
1,2,81,35,5,7,1,1,1,1,3,5,5,7,0,1,0,1,0,1,0,1,0
1,3,81,35,5,7,1,1,1,1,3,5,5,7,0,1,0,1,0,1,0,1,0
1,4,141,35,5,7,1,1,1,1,81,35,5,7,0,1,0,1,0,1,0,1,0
1,5,141,35,5,7,1,1,1,1,81,35,5,7,0,1,0,1,0,1,0,1,0
1,6,141,35,5,7,1,1,1,1,81,35,5,7,0,1,0,1,0,1,0,1,0
1,7,201,35,5,7,1,1,1,1,141,35,5,7,0,1,0,1,0,1,0,1,0
1,8,201,35,5,7,1,1,1,1,141,35,5,7,0,1,0,1,0,1,0,1,0
1,9,201,35,5,7,1,1,1,1,141,35,5,7,0,1,0,1,0,1,0,1,0
1,10,7,261,7,1,1,1,1,1,201,35,5,7,0,1,0,1,0,1,0,1,0
1,11,7,261,7,1,1,1,1,1,201,35,5,7,0,1,0,1,0,1,0,1,0
2,1,2095,261,7,1,1,1,1,1,7,261,7,1,0,1,0,1,0,1,0,1,0
2,2,2095,261,7,1,1,1,1,1,7,261,7,1,0,1,0,1,0,1,0,1,0
2,3,2095,261,7,1,1,1,1,1,7,261,7,1,0,1,0,1,0,1,0,1,0
2,4,4183,261,7,1,1,1,1,1,2095,261,7,1,0,1,0,1,0,1,0,1,0
2,5,4183,261,7,1,1,1,1,1,2095,261,7,1,0,1,0,1,0,1,0,1,0
2,6,4183,261,7,1,1,1,1,1,2095,261,7,1,0,1,0,1,0,1,0,1,0
2,7,6271,261,7,1,1,1,1,1,4183,261,7,1,0,1,0,1,0,1,0,1,0
2,8,1,6271,261,7,1636738,43897,1636738,43897,4183,261,7,1,0,1,0,1,0,1,0,1,0
2,9,1,6271,261,7,1636738,43897,1636738,43897,4183,261,7,1,0,1,0,1,0,1,0,1,0
2,10,7,3273476,43897,261,1636738,43897,1636738,43897,1,6271,261,7,0,1,0,1,0,1,0,1,0
2,11,7,3273476,43897,261,1636738,43897,1636738,43897,1,6271,261,7,0,1,0,1,0,1,0,1,0
3,1,7706205246538871,37504597528692,43897,261,1636738,43897,1636738,43897,7,3273476,43897,261,0,1,0,1,0,1,0,1,0
3,2,261,7706205246538871,854377236,1,6584006338586579171540817,7706205246538871,6584006338586579171540817,7706205246538871,7,3273476,43897,261,0,1,0,1,0,1,0,1,0
3,3,261,7706205246538871,854377236,1,6584006338586579171540817,7706205246538871,6584006338586579171540817,7706205246538871,7,3273476,43897,261,0,1,0,1,0,1,0,1,0
3,4,13168012677173158343081634,7706205246538871,854377236,1,6584006338586579171540817,7706205246538871,6584006338586579171540817,7706205246538871,261,7706205246538871,854377236,1,0,1,0,1,0,1,0,1,0
3,5,1,13168012677173158343081634,7706205246538871,854377236,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,261,7706205246538871,854377236,1,0,1,0,1,0,1,0,1,0
3,6,1,13168012677173158343081634,7706205246538871,854377236,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,261,7706205246538871,854377236,1,0,1,0,1,0,1,0,1,0
3,7,194397334060004133013803319437830577725,10776293366605520420069373734946,7706205246538871,854377236,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,1,13168012677173158343081634,7706205246538871,854377236,0,1,0,1,0,1,0,1,0
3,8,194397334060004133013803319437830577725,10776293366605520420069373734946,7706205246538871,854377236,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,1,13168012677173158343081634,7706205246538871,854377236,0,1,0,1,0,1,0,1,0
3,9,194397334060004133013803319437830577725,10776293366605520420069373734946,7706205246538871,854377236,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,1,13168012677173158343081634,7706205246538871,854377236,0,1,0,1,0,1,0,1,0
3,10,854377236,388794668120008266027606638875660337081,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,10776293366605520420069373734946,7706205246538871,854377236,0,1,0,1,0,1,0,1,0
3,11,854377236,388794668120008266027606638875660337081,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,10776293366605520420069373734946,7706205246538871,854377236,0,1,0,1,0,1,0,1,0
4,1,90300282823120793690919795192449283421253345360079331113050323812394151540005186352188513793190437819,64574384261243601093474426953968120272593568325112604592719222549530003201136755010492,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,854377236,388794668120008266027606638875660337081,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,2,90300282823120793690919795192449283421253345360079331113050323812394151540005186352188513793190437819,64574384261243601093474426953968120272593568325112604592719222549530003201136755010492,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,854377236,388794668120008266027606638875660337081,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,3,90300282823120793690919795192449283421253345360079331113050323812394151540005186352188513793190437819,64574384261243601093474426953968120272593568325112604592719222549530003201136755010492,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,854377236,388794668120008266027606638875660337081,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,4,90300282823120793690919795192449283421253345289128147280851070585607517180323311560315694994756967843,32287192130621800546737213476984060136296784162556302296359611274765001600568377505246,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,90300282823120793690919795192449283421253345360079331113050323812394151540005186352188513793190437819,64574384261243601093474426953968120272593568325112604592719222549530003201136755010492,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,5,90300282823120793690919795192449283421253345289128147280851070585607517180323311560315694994756967843,32287192130621800546737213476984060136296784162556302296359611274765001600568377505246,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,90300282823120793690919795192449283421253345360079331113050323812394151540005186352188513793190437819,64574384261243601093474426953968120272593568325112604592719222549530003201136755010492,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,6,90300282823120793690919795192449283421253345289128147280851070585607517180323311560315694994756967843,32287192130621800546737213476984060136296784162556302296359611274765001600568377505246,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,90300282823120793690919795192449283421253345360079331113050323812394151540005186352188513793190437819,64574384261243601093474426953968120272593568325112604592719222549530003201136755010492,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,7,90300282823120793690919795192449283421253345265477752670117986176678639060429353296358088728612477851,21524794753747867031158142317989373424197856108370868197573074183176667733712251670164,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,90300282823120793690919795192449283421253345289128147280851070585607517180323311560315694994756967843,32287192130621800546737213476984060136296784162556302296359611274765001600568377505246,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,8,7706205246538871,90300282823120793690919795192449283421253345265477752670117986176678639060429353296358088728612477851,5992263022585493657659605671301207296850592976858351102,3,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,90300282823120793690919795192449283421253345289128147280851070585607517180323311560315694994756967843,32287192130621800546737213476984060136296784162556302296359611274765001600568377505246,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,9,7706205246538871,90300282823120793690919795192449283421253345265477752670117986176678639060429353296358088728612477851,5992263022585493657659605671301207296850592976858351102,3,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,90300282823120793690919795192449283421253345289128147280851070585607517180323311560315694994756967843,32287192130621800546737213476984060136296784162556302296359611274765001600568377505246,10776293366605520420069373734946,7706205246538871,0,1,0,1,0,1,0,1,0
4,10,3,1082206091379997483102390884441199685534080369014486885808586624123285039044946645505270872264060453002213064582330984016078703909556885657715184972192116830,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,7706205246538871,90300282823120793690919795192449283421253345265477752670117986176678639060429353296358088728612477851,5992263022585493657659605671301207296850592976858351102,3,0,1,0,1,0,1,0,1,0
4,11,3,1082206091379997483102390884441199685534080369014486885808586624123285039044946645505270872264060453002213064582330984016078703909556885657715184972192116830,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,7706205246538871,90300282823120793690919795192449283421253345265477752670117986176678639060429353296358088728612477851,5992263022585493657659605671301207296850592976858351102,3,0,1,0,1,0,1,0,1,0
5,1,113836167796176430435251580470140380282056919993566852181029640604058958084645401829084514060937893946823404353650953103119728459661779655547447181998137233449361605249157770602267756115433302585077140689601664590768463777678191003969985327981242958849326668424941421257624733524842541905949736022275288622611209115625826980565461764790056524019413307,56991573028728307577592279289231091198166329203290162012488036291993790148835275920316227317592409803047335748174591619751264180363866934808722202965296114403583390196766468627033990605189354882887877355646000209279791022319259487000726135667315941256305991554138350499845986208064043178481693095,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,3,1082206091379997483102390884441199685534080369014486885808586624123285039044946645505270872264060453002213064582330984016078703909556885657715184972192116830,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,0,1,0,1,0,1,0,1,0
5,2,113836167796176430435251580470140380282056919993566852181029640604058958084645401829084514060937893946823404353650953103119728459661779655547447181998137233449361605249157770602267756115433302585077140689601664590768463777678191003969985327981242958849326668424941421257624733524842541905949736022275288622611209115625826980565461764790056524019413307,56991573028728307577592279289231091198166329203290162012488036291993790148835275920316227317592409803047335748174591619751264180363866934808722202965296114403583390196766468627033990605189354882887877355646000209279791022319259487000726135667315941256305991554138350499845986208064043178481693095,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,3,1082206091379997483102390884441199685534080369014486885808586624123285039044946645505270872264060453002213064582330984016078703909556885657715184972192116830,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,0,1,0,1,0,1,0,1,0
5,3,113836167796176430435251580470140380282056919993566852181029640604058958084645401829084514060937893946823404353650953103119728459661779655547447181998137233449361605249157770602267756115433302585077140689601664590768463777678191003969985327981242958849326668424941421257624733524842541905949736022275288622611209115625826980565461764790056524019413307,56991573028728307577592279289231091198166329203290162012488036291993790148835275920316227317592409803047335748174591619751264180363866934808722202965296114403583390196766468627033990605189354882887877355646000209279791022319259487000726135667315941256305991554138350499845986208064043178481693095,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,3,1082206091379997483102390884441199685534080369014486885808586624123285039044946645505270872264060453002213064582330984016078703909556885657715184972192116830,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,0,1,0,1,0,1,0,1,0
5,4,455344671184705721741006321880561521128227679974267408724118562416235832338581607316338056243751575787293617414603812412478913838647118622189788727992548933797446420996631082409071024461733210340308562758406658047099438688489575382614247714707904554958190269179596488735033929764549946462634781726986344448466870024978630358988096219604024232319216849,113983146057456615155184558578462182396332658406580324024976072583987580297670551840632454635184819606094671496349183239502528360727733869617444405930592228807166780393532937254067981210378709765775754711292000418559582044638518974001452271334631882512611983108276700999691972416128086356963386190,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,113836167796176430435251580470140380282056919993566852181029640604058958084645401829084514060937893946823404353650953103119728459661779655547447181998137233449361605249157770602267756115433302585077140689601664590768463777678191003969985327981242958849326668424941421257624733524842541905949736022275288622611209115625826980565461764790056524019413307,56991573028728307577592279289231091198166329203290162012488036291993790148835275920316227317592409803047335748174591619751264180363866934808722202965296114403583390196766468627033990605189354882887877355646000209279791022319259487000726135667315941256305991554138350499845986208064043178481693095,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,0,1,0,1,0,1,0,1,0
5,5,455344671184705721741006321880561521128227679974267408724118562416235832338581607316338056243751575787293617414603812412478913838647118622189788727992548933797446420996631082409071024461733210340308562758406658047099438688489575382614247714707904554958190269179596488735033929764549946462634781726986344448466870024978630358988096219604024232319216849,113983146057456615155184558578462182396332658406580324024976072583987580297670551840632454635184819606094671496349183239502528360727733869617444405930592228807166780393532937254067981210378709765775754711292000418559582044638518974001452271334631882512611983108276700999691972416128086356963386190,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,113836167796176430435251580470140380282056919993566852181029640604058958084645401829084514060937893946823404353650953103119728459661779655547447181998137233449361605249157770602267756115433302585077140689601664590768463777678191003969985327981242958849326668424941421257624733524842541905949736022275288622611209115625826980565461764790056524019413307,56991573028728307577592279289231091198166329203290162012488036291993790148835275920316227317592409803047335748174591619751264180363866934808722202965296114403583390196766468627033990605189354882887877355646000209279791022319259487000726135667315941256305991554138350499845986208064043178481693095,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,0,1,0,1,0,1,0,1,0
5,6,455344671184705721741006321880561521128227679974267408724118562416235832338581607316338056243751575787293617414603812412478913838647118622189788727992548933797446420996631082409071024461733210340308562758406658047099438688489575382614247714707904554958190269179596488735033929764549946462634781726986344448466870024978630358988096219604024232319216849,113983146057456615155184558578462182396332658406580324024976072583987580297670551840632454635184819606094671496349183239502528360727733869617444405930592228807166780393532937254067981210378709765775754711292000418559582044638518974001452271334631882512611983108276700999691972416128086356963386190,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,113836167796176430435251580470140380282056919993566852181029640604058958084645401829084514060937893946823404353650953103119728459661779655547447181998137233449361605249157770602267756115433302585077140689601664590768463777678191003969985327981242958849326668424941421257624733524842541905949736022275288622611209115625826980565461764790056524019413307,56991573028728307577592279289231091198166329203290162012488036291993790148835275920316227317592409803047335748174591619751264180363866934808722202965296114403583390196766468627033990605189354882887877355646000209279791022319259487000726135667315941256305991554138350499845986208064043178481693095,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,0,1,0,1,0,1,0,1,0
5,7,113836167796176430435251580470140380282056919993566852181029640604058958084645401829084514060937893946823404353650953103119728459661779655547447181998137233449361605249157770602267756115433302585077140689601664485443658303603794792881420795575553865369621200251551689159136398746569134852228348568237018608618553636450934459474211484937989236099934514,18997191009576102525864093096410363732722109734430054004162678763997930049611758640105409105864136601015778582724863873250421393454622311602907400988432038134527796732255489542344663535063118294295959118548666736426597007439753162333575378555771980418768663851379450166615328736021347726160564365,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,455344671184705721741006321880561521128227679974267408724118562416235832338581607316338056243751575787293617414603812412478913838647118622189788727992548933797446420996631082409071024461733210340308562758406658047099438688489575382614247714707904554958190269179596488735033929764549946462634781726986344448466870024978630358988096219604024232319216849,113983146057456615155184558578462182396332658406580324024976072583987580297670551840632454635184819606094671496349183239502528360727733869617444405930592228807166780393532937254067981210378709765775754711292000418559582044638518974001452271334631882512611983108276700999691972416128086356963386190,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,0,1,0,1,0,1,0,1,0
5,8,113836167796176430435251580470140380282056919993566852181029640604058958084645401829084514060937893946823404353650953103119728459661779655547447181998137233449361605249157770602267756115433302585077140689601664485443658303603794792881420795575553865369621200251551689159136398746569134852228348568237018608618553636450934459474211484937989236099934514,18997191009576102525864093096410363732722109734430054004162678763997930049611758640105409105864136601015778582724863873250421393454622311602907400988432038134527796732255489542344663535063118294295959118548666736426597007439753162333575378555771980418768663851379450166615328736021347726160564365,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,455344671184705721741006321880561521128227679974267408724118562416235832338581607316338056243751575787293617414603812412478913838647118622189788727992548933797446420996631082409071024461733210340308562758406658047099438688489575382614247714707904554958190269179596488735033929764549946462634781726986344448466870024978630358988096219604024232319216849,113983146057456615155184558578462182396332658406580324024976072583987580297670551840632454635184819606094671496349183239502528360727733869617444405930592228807166780393532937254067981210378709765775754711292000418559582044638518974001452271334631882512611983108276700999691972416128086356963386190,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,0,1,0,1,0,1,0,1,0
5,9,113836167796176430435251580470140380282056919993566852181029640604058958084645401829084514060937893946823404353650953103119728459661779655547447181998137233449361605249157770602267756115433302585077140689601664485443658303603794792881420795575553865369621200251551689159136398746569134852228348568237018608618553636450934459474211484937989236099934514,18997191009576102525864093096410363732722109734430054004162678763997930049611758640105409105864136601015778582724863873250421393454622311602907400988432038134527796732255489542344663535063118294295959118548666736426597007439753162333575378555771980418768663851379450166615328736021347726160564365,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,455344671184705721741006321880561521128227679974267408724118562416235832338581607316338056243751575787293617414603812412478913838647118622189788727992548933797446420996631082409071024461733210340308562758406658047099438688489575382614247714707904554958190269179596488735033929764549946462634781726986344448466870024978630358988096219604024232319216849,113983146057456615155184558578462182396332658406580324024976072583987580297670551840632454635184819606094671496349183239502528360727733869617444405930592228807166780393532937254067981210378709765775754711292000418559582044638518974001452271334631882512611983108276700999691972416128086356963386190,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,0,1,0,1,0,1,0,1,0
5,10,5992263022585493657659605671301207296850592976858351102,910689342369411443482012643761123042256455359948534817448237124832471664677163214632676112487503151574587234829207624824957827677294237244379577455985097867594892841993262164818142048923466420680617125516813315778224460954755962131962801832198741829477264133839023781174602855194279671764105401091857878854955773612432583154702441599651846600879997319,420755958135537459794656791707792289480760839572634420459427876489975258153511718299676339989293374560562986768863880544822361168704276005180322554534914837547206650647517876821532174848733173230,1,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,113836167796176430435251580470140380282056919993566852181029640604058958084645401829084514060937893946823404353650953103119728459661779655547447181998137233449361605249157770602267756115433302585077140689601664485443658303603794792881420795575553865369621200251551689159136398746569134852228348568237018608618553636450934459474211484937989236099934514,18997191009576102525864093096410363732722109734430054004162678763997930049611758640105409105864136601015778582724863873250421393454622311602907400988432038134527796732255489542344663535063118294295959118548666736426597007439753162333575378555771980418768663851379450166615328736021347726160564365,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,0,1,0,1,0,1,0,1,0
5,11,5992263022585493657659605671301207296850592976858351102,910689342369411443482012643761123042256455359948534817448237124832471664677163214632676112487503151574587234829207624824957827677294237244379577455985097867594892841993262164818142048923466420680617125516813315778224460954755962131962801832198741829477264133839023781174602855194279671764105401091857878854955773612432583154702441599651846600879997319,420755958135537459794656791707792289480760839572634420459427876489975258153511718299676339989293374560562986768863880544822361168704276005180322554534914837547206650647517876821532174848733173230,1,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,541103045689998741551195442220599842767040184507243442904293312061642519522473322752635436132030226501106532291165492008039351954778442828857592486096058415,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,113836167796176430435251580470140380282056919993566852181029640604058958084645401829084514060937893946823404353650953103119728459661779655547447181998137233449361605249157770602267756115433302585077140689601664485443658303603794792881420795575553865369621200251551689159136398746569134852228348568237018608618553636450934459474211484937989236099934514,18997191009576102525864093096410363732722109734430054004162678763997930049611758640105409105864136601015778582724863873250421393454622311602907400988432038134527796732255489542344663535063118294295959118548666736426597007439753162333575378555771980418768663851379450166615328736021347726160564365,270900848469362381072759385577347850263760035796433258010353958530035917181288059889074266185837433553,5992263022585493657659605671301207296850592976858351102,0,1,0,1,0,1,0,1,0
